question,answer
"Как создать котировочную сессию?","Для создания котировочной сессии необходимо перейти в раздел 'Мои закупки' и нажать кнопку 'Создать КС'. Затем заполните все обязательные поля: название, описание, бюджет, сроки проведения."
"Как добавить электронную подпись?","ЭЦП добавляется в личном кабинете, в разделе 'Профиль' -> 'Мои подписи'. Вам понадобится сертификат, полученный в удостоверяющем центре."
"Что такое Портал поставщиков?","Портал поставщиков — это информационная система, предназначенная для обеспечения проведения закупок товаров, работ и услуг для нужд города Москвы."
"Как сменить пароль?","Перейдите в 'Профиль' -> 'Настройки безопасности'. Нажмите 'Сменить пароль', введите текущий пароль и новый пароль дважды."
"Какие нужны документы для регистрации?","Для регистрации на Портале поставщиков необходимы: выписка из ЕГРЮЛ/ЕГРИП, документы, подтверждающие полномочия руководителя, сертификат ЭЦП."
"Как найти закупку?","Используйте раздел 'Реестр закупок'. Вы можете применить фильтры по названию, номеру, заказчику, цене и другим параметрам."
"Что такое Котировочная сессия?","Котировочная сессия (КС) — это способ закупки у ограниченного круга поставщиков (не менее 3), при котором победителем признается участник, предложивший наименьшую цену."
"Как подать жалобу?","Жалоба подается через раздел 'Жалобы и обращения'. Необходимо заполнить форму, указать предмет жалобы и приложить подтверждающие документы."
"Как изменить реквизиты организации?","Реквизиты изменяются в разделе 'Профиль организации' -> 'Редактирование'. Изменения проходят модерацию в течение 1-2 рабочих дней."
"Как получить аккредитацию?","Аккредитация проводится автоматически после проверки документов, предоставленных при регистрации. Срок аккредитации - 3 рабочих дня."
"Как создать профиль компании?","Для создания профиля компании при регистрации укажите основные сведения: наименование, ИНН, ОГРН, юридический адрес, контактные данные."
"Как добавить пользователя в профиль?","В 'Профиле организации' есть раздел 'Пользователи'. Нажмите 'Добавить пользователя', заполните email и назначьте права доступа."
"Как работает электронный аукцион?","Электронный аукцион проводится на электронной торговой площадке. Участники подают заявки, затем в назначенное время проводится торг на понижение цены."
"Что такое гарантийное обеспечение?","Гарантийное обеспечение — это денежные средства, которые вносятся участником закупки в качестве обеспечения исполнения контракта."
"Как расторгнуть контракт?","Расторжение контракта возможно по соглашению сторон или через суд. Для расторжения по соглашению необходимо подать заявление в разделе 'Мои контракты'."
"Как посмотреть историю закупок?","История доступна в 'Личном кабинете' -> 'История действий'. Также можно использовать фильтры в реестрах закупок и контрактов."
"Как написать в техподдержку?","Обратиться в техподдержку можно через форму обратной связи в разделе 'Помощь' или по email support@zakupki.mos.ru."
"Какие браузеры поддерживаются?","Портал поддерживает последние версии Chrome, Firefox, Yandex Browser, Safari. Рекомендуется использовать актуальные версии браузеров."
"Что делать, если забыл пароль?","Воспользуйтесь функцией 'Восстановление пароля' на странице входа. На указанную почту придет ссылка для сброса пароля."
"Как обновить сертификат ЭЦП?","Для обновления сертификата необходимо добавить новый сертификат в разделе 'Мои подписи', а старый отозвать или удалить."
